model,threshold_stratified,ber_stratified,recall_fail_stratified,specificity_stratified,precision_fail_stratified,flag_rate_stratified,pr_auc_stratified,roc_auc_stratified,tp_stratified,fn_stratified,fp_stratified,tn_stratified,threshold_forward,ber_forward,recall_fail_forward,specificity_forward,precision_fail_forward,flag_rate_forward,pr_auc_forward,roc_auc_forward,tp_forward,fn_forward,fp_forward,tn_forward
hist_gb,0.06038212430277981,0.2426940639269406,0.7,0.8146118721461187,0.21621621621621623,0.2204255319148936,0.21930821981878998,0.8000799086757993,56,24,203,892,0.0387766940438875,0.37194055944055937,0.375,0.8811188811188811,0.08108108108108109,0.12585034013605442,0.14664742400608377,0.7272727272727273,3,5,34,252
balanced_rf,0.38290731462925853,0.24871575342465757,0.7875,0.7150684931506849,0.168,0.3191489361702128,0.22879369569226155,0.8040239726027398,63,17,312,783,0.4526796927187708,0.3767482517482518,0.25,0.9965034965034965,0.6666666666666666,0.01020408163265306,0.33479167798559484,0.7884615384615384,2,6,1,285
random_forest,0.13862384204191122,0.252425799086758,0.7125,0.782648401826484,0.19322033898305085,0.251063829787234,0.22636068512443902,0.8050799086757991,57,23,238,857,0.15535583188262456,0.3177447552447552,0.375,0.9895104895104895,0.5,0.02040816326530612,0.35195485519957836,0.8125,3,5,3,283
logistic_smote,0.43474606636956037,0.29049657534246576,0.6875,0.7315068493150685,0.15759312320916904,0.2970212765957447,0.2033089669418825,0.7560730593607304,55,25,294,801,0.41429971546949323,0.3806818181818181,0.375,0.8636363636363636,0.07142857142857142,0.14285714285714285,0.07101219703517812,0.7915209790209791,3,5,39,247
logistic,0.3376708364645552,0.2984589041095891,0.825,0.5780821917808219,0.125,0.4493617021276596,0.2052131568284248,0.7575228310502283,66,14,462,633,0.3725967121168367,0.2923951048951049,0.625,0.7902097902097902,0.07692307692307693,0.22108843537414966,0.06905579739400566,0.7779720279720279,5,3,60,226
